date,open,close,high,low,volume,amount,turnoverratio,code
2019-02-12 14:55,32.03,32.06,32.07,31.98,2404.0,{},80.1333,2942
2019-02-12 15:00,32.06,32.0,32.07,32.0,2683.0,{},89.4333,2942
2019-02-13 09:35,31.61,31.9,31.91,31.61,4227.0,{},140.9,2942
2019-02-13 09:40,31.9,31.41,31.9,31.39,4764.0,{},158.8,2942
2019-02-13 09:45,31.41,31.69,31.7,31.41,3461.0,{},115.3667,2942
2019-02-13 09:50,31.69,31.65,31.69,31.51,1486.0,{},49.5333,2942
2019-02-13 09:55,31.65,31.62,31.7,31.58,1767.0,{},58.9,2942
2019-02-13 10:00,31.62,31.51,31.62,31.5,1877.0,{},62.5667,2942
2019-02-13 10:05,31.51,31.57,31.58,31.4,2347.0,{},78.2333,2942
2019-02-13 10:10,31.57,31.55,31.6,31.5,1541.0,{},51.3667,2942
2019-02-13 10:15,31.55,31.76,31.85,31.55,1529.0,{},50.9667,2942
2019-02-13 10:20,31.76,31.67,31.78,31.63,903.0,{},30.1,2942
2019-02-13 10:25,31.67,31.71,31.75,31.65,1089.0,{},36.3,2942
2019-02-13 10:30,31.71,31.99,32.0,31.65,1821.0,{},60.7,2942
2019-02-13 10:35,31.99,32.1,32.27,31.99,4124.0,{},137.4667,2942
2019-02-13 10:40,32.1,32.08,32.18,32.03,1084.0,{},36.1333,2942
2019-02-13 10:45,32.08,32.17,32.19,32.07,820.0,{},27.3333,2942
2019-02-13 10:50,32.17,31.86,32.19,31.8,1607.0,{},53.5667,2942
2019-02-13 10:55,31.86,31.92,31.99,31.86,865.0,{},28.8333,2942
2019-02-13 11:00,31.92,32.01,32.01,31.83,627.0,{},20.9,2942
2019-02-13 11:05,32.01,32.1,32.24,32.0,2535.0,{},84.5,2942
2019-02-13 11:10,32.1,32.21,32.37,32.1,2630.0,{},87.6667,2942
2019-02-13 11:15,32.21,32.28,32.32,32.21,1041.0,{},34.7,2942
2019-02-13 11:20,32.28,32.25,32.31,32.17,891.0,{},29.7,2942
2019-02-13 11:25,32.25,32.24,32.25,32.2,650.0,{},21.6667,2942
2019-02-13 11:30,32.24,32.23,32.26,32.22,663.0,{},22.1,2942
2019-02-13 13:05,32.23,32.27,32.3,32.23,869.0,{},28.9667,2942
2019-02-13 13:10,32.27,32.43,32.45,32.26,2016.0,{},67.2,2942
2019-02-13 13:15,32.43,32.25,32.43,32.24,1039.0,{},34.6333,2942
2019-02-13 13:20,32.25,32.25,32.34,32.24,755.0,{},25.1667,2942
2019-02-13 13:25,32.25,32.25,32.31,32.24,532.0,{},17.7333,2942
2019-02-13 13:30,32.25,32.2,32.29,32.19,1151.0,{},38.3667,2942
2019-02-13 13:35,32.2,32.1,32.2,32.04,1634.0,{},54.4667,2942
2019-02-13 13:40,32.1,32.17,32.18,32.09,706.0,{},23.5333,2942
2019-02-13 13:45,32.17,32.16,32.26,32.15,785.0,{},26.1667,2942
2019-02-13 13:50,32.16,32.29,32.41,32.16,2231.0,{},74.3667,2942
2019-02-13 13:55,32.29,32.41,32.55,32.24,2640.0,{},88.0,2942
2019-02-13 14:00,32.41,32.35,32.44,32.35,620.0,{},20.6667,2942
2019-02-13 14:05,32.35,32.3,32.4,32.3,951.0,{},31.7,2942
2019-02-13 14:10,32.3,32.29,32.31,32.24,898.0,{},29.9333,2942
2019-02-13 14:15,32.29,32.3,32.3,32.28,773.0,{},25.7667,2942
2019-02-13 14:20,32.3,32.29,32.3,32.25,943.0,{},31.4333,2942
2019-02-13 14:25,32.29,32.4,32.49,32.28,1787.0,{},59.5667,2942
2019-02-13 14:30,32.4,32.36,32.4,32.35,869.0,{},28.9667,2942
2019-02-13 14:35,32.36,32.35,32.37,32.3,969.0,{},32.3,2942
2019-02-13 14:40,32.35,32.4,32.41,32.25,1836.0,{},61.2,2942
2019-02-13 14:45,32.4,32.35,32.41,32.31,1599.0,{},53.3,2942
2019-02-13 14:50,32.35,32.21,32.35,32.2,1991.0,{},66.3667,2942
2019-02-13 14:55,32.21,32.13,32.22,32.06,3508.0,{},116.9333,2942
2019-02-13 15:00,32.13,32.16,32.16,32.12,2216.0,{},73.8667,2942
2019-02-14 09:35,32.0,31.86,32.16,31.77,4055.0,{},135.1667,2942
2019-02-14 09:40,31.86,32.27,32.3,31.85,2079.0,{},69.3,2942
2019-02-14 09:45,32.27,32.46,32.46,32.2,3327.0,{},110.9,2942
2019-02-14 09:50,32.46,32.37,32.46,32.34,1749.0,{},58.3,2942
2019-02-14 09:55,32.37,32.31,32.4,32.24,1745.0,{},58.1667,2942
2019-02-14 10:00,32.31,32.59,32.59,32.31,2645.0,{},88.1667,2942
2019-02-14 10:05,32.59,32.78,32.87,32.59,5200.0,{},173.3333,2942
2019-02-14 10:10,32.78,32.88,33.11,32.77,5824.0,{},194.1333,2942
2019-02-14 10:15,32.88,33.04,33.15,32.88,3725.0,{},124.1667,2942
2019-02-14 10:20,33.04,33.28,33.3,32.95,2813.0,{},93.7667,2942
2019-02-14 10:25,33.28,33.29,33.38,33.0,3208.0,{},106.9333,2942
2019-02-14 10:30,33.29,33.47,33.58,33.24,3852.0,{},128.4,2942
2019-02-14 10:35,33.47,33.26,33.47,33.23,2164.0,{},72.1333,2942
2019-02-14 10:40,33.26,33.19,33.32,33.15,2071.0,{},69.0333,2942
2019-02-14 10:45,33.19,33.02,33.2,32.91,1991.0,{},66.3667,2942
2019-02-14 10:50,33.02,32.93,33.1,32.92,2131.0,{},71.0333,2942
2019-02-14 10:55,32.93,32.91,32.95,32.83,1855.0,{},61.8333,2942
2019-02-14 11:00,32.91,32.95,33.1,32.91,907.0,{},30.2333,2942
2019-02-14 11:05,32.95,33.0,33.03,32.95,811.0,{},27.0333,2942
2019-02-14 11:10,33.0,33.05,33.09,33.0,670.0,{},22.3333,2942
2019-02-14 11:15,33.05,32.96,33.05,32.9,679.0,{},22.6333,2942
2019-02-14 11:20,32.96,33.06,33.06,32.88,530.0,{},17.6667,2942
2019-02-14 11:25,33.06,32.91,33.06,32.9,646.0,{},21.5333,2942
2019-02-14 11:30,32.91,32.71,32.96,32.71,1249.0,{},41.6333,2942
2019-02-14 13:05,32.71,32.75,32.85,32.65,1105.0,{},36.8333,2942
2019-02-14 13:10,32.75,33.0,33.0,32.74,623.0,{},20.7667,2942
2019-02-14 13:15,33.0,32.93,33.0,32.91,692.0,{},23.0667,2942
2019-02-14 13:20,32.93,33.02,33.04,32.92,509.0,{},16.9667,2942
2019-02-14 13:25,33.02,33.14,33.19,33.0,1065.0,{},35.5,2942
2019-02-14 13:30,33.14,33.03,33.15,33.03,662.0,{},22.0667,2942
2019-02-14 13:35,33.03,33.01,33.03,32.96,517.0,{},17.2333,2942
2019-02-14 13:40,33.01,33.04,33.09,32.98,485.0,{},16.1667,2942
2019-02-14 13:45,33.04,33.11,33.19,33.03,693.0,{},23.1,2942
2019-02-14 13:50,33.11,32.98,33.11,32.97,769.0,{},25.6333,2942
2019-02-14 13:55,32.98,32.95,33.04,32.92,511.0,{},17.0333,2942
2019-02-14 14:00,32.95,33.08,33.12,32.93,721.0,{},24.0333,2942
2019-02-14 14:05,33.08,33.24,33.35,33.07,2232.0,{},74.4,2942
2019-02-14 14:10,33.24,33.18,33.28,33.18,1529.0,{},50.9667,2942
2019-02-14 14:15,33.18,33.3,33.3,33.1,1455.0,{},48.5,2942
2019-02-14 14:20,33.3,33.23,33.34,33.2,1025.0,{},34.1667,2942
2019-02-14 14:25,33.23,33.19,33.24,33.15,918.0,{},30.6,2942
2019-02-14 14:30,33.19,33.22,33.3,33.18,1103.0,{},36.7667,2942
2019-02-14 14:35,33.22,33.2,33.22,33.13,1002.0,{},33.4,2942
2019-02-14 14:40,33.2,33.3,33.33,33.19,2014.0,{},67.1333,2942
2019-02-14 14:45,33.3,33.8,33.8,33.21,4772.0,{},159.0667,2942
2019-02-14 14:50,33.8,33.83,34.25,33.7,8632.0,{},287.7333,2942
2019-02-14 14:55,33.83,34.18,34.18,33.8,6325.0,{},210.8333,2942
2019-02-14 15:00,34.18,34.25,34.25,34.17,5805.0,{},193.5,2942
2019-02-15 09:35,33.69,33.73,33.96,33.44,7375.0,{},245.8333,2942
2019-02-15 09:40,33.73,33.74,33.93,33.68,3253.0,{},108.4333,2942
2019-02-15 09:45,33.74,33.76,33.77,33.53,4143.0,{},138.1,2942
2019-02-15 09:50,33.76,33.75,33.8,33.63,1891.0,{},63.0333,2942
2019-02-15 09:55,33.75,33.68,33.77,33.68,1372.0,{},45.7333,2942
2019-02-15 10:00,33.68,33.47,33.68,33.47,3158.0,{},105.2667,2942
2019-02-15 10:05,33.47,33.47,33.47,33.16,5005.0,{},166.8333,2942
2019-02-15 10:10,33.47,33.6,33.61,33.4,2973.0,{},99.1,2942
2019-02-15 10:15,33.6,33.36,33.6,33.36,1703.0,{},56.7667,2942
2019-02-15 10:20,33.36,33.7,33.79,33.34,2039.0,{},67.9667,2942
2019-02-15 10:25,33.7,33.96,33.96,33.7,1945.0,{},64.8333,2942
2019-02-15 10:30,33.96,34.03,34.16,33.94,2136.0,{},71.2,2942
2019-02-15 10:35,34.03,34.0,34.03,33.82,1019.0,{},33.9667,2942
2019-02-15 10:40,34.0,33.82,34.0,33.82,1027.0,{},34.2333,2942
