,date,open,close,high,low,volume,code
0,2017-01-10,3167.57,3161.67,3174.58,3157.33,179759216.0,sh
1,2017-01-11,3156.69,3136.75,3167.03,3136.27,178362221.0,sh
2,2017-01-12,3133.6,3119.29,3144.97,3115.98,148889240.0,sh
3,2017-01-13,3116.08,3112.76,3130.51,3102.16,156274214.0,sh
4,2017-01-16,3104.49,3103.43,3105.14,3044.29,257885996.0,sh
5,2017-01-17,3087.03,3108.77,3108.91,3072.34,136157861.0,sh
6,2017-01-18,3104.77,3113.01,3123.72,3098.59,131780128.0,sh
7,2017-01-19,3104.97,3101.3,3115.78,3094.01,123851420.0,sh
8,2017-01-20,3095.82,3123.14,3125.66,3095.21,122366777.0,sh
9,2017-01-23,3125.42,3136.77,3145.84,3125.42,132660392.0,sh
10,2017-01-24,3134.59,3142.55,3149.53,3131.22,125973881.0,sh
11,2017-01-25,3137.65,3149.55,3151.47,3133.19,112073827.0,sh
12,2017-01-26,3149.22,3159.17,3163.1,3148.91,113876772.0,sh
13,2017-02-03,3160.08,3140.17,3162.68,3136.01,92224736.0,sh
14,2017-02-06,3143.09,3156.98,3158.84,3135.39,127198283.0,sh
15,2017-02-07,3154.4,3153.09,3159.54,3140.04,128337442.0,sh
16,2017-02-08,3148.09,3166.98,3167.45,3132.03,144920187.0,sh
17,2017-02-09,3164.69,3183.18,3186.84,3162.57,191640327.0,sh
18,2017-02-10,3183.01,3196.7,3205.05,3182.8,239348913.0,sh
19,2017-02-13,3198.99,3216.84,3219.41,3198.99,220191508.0,sh
20,2017-02-14,3216.14,3217.93,3219.4,3205.29,188798088.0,sh
21,2017-02-15,3215.46,3212.99,3236.0,3206.56,241507706.0,sh
22,2017-02-16,3210.36,3229.62,3230.28,3207.79,216955942.0,sh
23,2017-02-17,3227.71,3202.08,3238.4,3199.42,226228177.0,sh
24,2017-02-20,3198.96,3239.96,3241.46,3198.96,232152096.0,sh
25,2017-02-21,3242.22,3253.33,3254.34,3239.88,211673066.0,sh
26,2017-02-22,3252.69,3261.22,3261.38,3243.84,207453776.0,sh
27,2017-02-23,3258.83,3251.38,3264.08,3236.35,209179800.0,sh
28,2017-02-24,3246.86,3253.43,3253.96,3233.53,186406362.0,sh
29,2017-02-27,3249.19,3228.66,3251.65,3224.09,182581071.0,sh
30,2017-02-28,3225.97,3241.73,3242.68,3225.97,151244318.0,sh
31,2017-03-01,3240.07,3246.93,3259.98,3237.87,190677550.0,sh
32,2017-03-02,3250.52,3230.03,3256.81,3228.66,181215076.0,sh
33,2017-03-03,3219.2,3218.31,3221.16,3206.61,157082368.0,sh
34,2017-03-06,3217.33,3233.87,3234.66,3215.07,156092158.0,sh
35,2017-03-07,3233.09,3242.41,3242.66,3226.82,164064235.0,sh
36,2017-03-08,3240.53,3240.66,3245.3,3230.61,160731388.0,sh
37,2017-03-09,3233.7,3216.75,3233.88,3205.28,167371108.0,sh
38,2017-03-10,3213.73,3212.76,3222.32,3208.45,136672743.0,sh
39,2017-03-13,3209.45,3237.02,3237.12,3193.16,163673760.0,sh
40,2017-03-14,3235.25,3239.33,3246.33,3231.52,146946022.0,sh
41,2017-03-15,3235.4,3241.76,3243.71,3227.74,144055682.0,sh
42,2017-03-16,3247.16,3268.94,3269.77,3247.16,189416002.0,sh
43,2017-03-17,3271.87,3237.45,3274.19,3232.28,200583223.0,sh
44,2017-03-20,3241.11,3250.81,3251.13,3228.12,170548430.0,sh
45,2017-03-21,3250.25,3261.61,3262.22,3246.7,162719306.0,sh
46,2017-03-22,3246.22,3245.22,3255.78,3229.13,189731649.0,sh
47,2017-03-23,3245.81,3248.55,3262.09,3221.93,193029144.0,sh
48,2017-03-24,3247.35,3269.45,3275.21,3241.12,219777914.0,sh
49,2017-03-27,3268.92,3266.96,3283.24,3262.12,201852675.0,sh
50,2017-03-28,3265.63,3252.95,3265.63,3246.09,161710013.0,sh
51,2017-03-29,3252.87,3241.31,3262.1,3233.28,216105575.0,sh
52,2017-03-30,3235.14,3210.24,3240.02,3195.85,247135479.0,sh
53,2017-03-31,3206.25,3222.51,3226.25,3205.54,196442922.0,sh
54,2017-04-05,3235.66,3270.31,3270.65,3233.24,248320202.0,sh
55,2017-04-06,3272.19,3281.0,3286.67,3265.76,245287999.0,sh
56,2017-04-07,3280.62,3286.62,3295.19,3275.05,236108942.0,sh
