date,open,close,high,low,volume,amount,turnoverratio,code
2019-08-23 14:55,5.61,5.62,5.62,5.58,5510.0,{},9.7606,300382
2019-08-23 15:00,5.62,5.63,5.63,5.58,4450.0,{},7.8829,300382
2019-08-26 09:35,5.45,5.53,5.55,5.45,3797.0,{},6.7262,300382
2019-08-26 09:40,5.53,5.55,5.55,5.52,1355.0,{},2.4003,300382
2019-08-26 09:45,5.55,5.58,5.59,5.55,1652.0,{},2.9264,300382
2019-08-26 09:50,5.58,5.56,5.58,5.55,834.0,{},1.4774,300382
2019-08-26 09:55,5.56,5.55,5.56,5.54,708.0,{},1.2542,300382
2019-08-26 10:00,5.55,5.56,5.56,5.53,412.0,{},0.7298,300382
2019-08-26 10:05,5.56,5.55,5.56,5.55,49.0,{},0.0868,300382
2019-08-26 10:10,5.55,5.53,5.55,5.52,991.0,{},1.7555,300382
2019-08-26 10:15,5.53,5.5,5.53,5.49,1060.0,{},1.8777,300382
2019-08-26 10:20,5.5,5.5,5.52,5.5,241.0,{},0.4269,300382
2019-08-26 10:25,5.5,5.5,5.5,5.5,69.0,{},0.1222,300382
2019-08-26 10:30,5.5,5.51,5.52,5.49,343.0,{},0.6076,300382
2019-08-26 10:35,5.51,5.47,5.51,5.47,1356.0,{},2.4021,300382
2019-08-26 10:40,5.47,5.5,5.5,5.44,7218.0,{},12.7863,300382
2019-08-26 10:45,5.5,5.49,5.5,5.47,1011.0,{},1.7909,300382
2019-08-26 10:50,5.49,5.48,5.49,5.47,800.0,{},1.4172,300382
2019-08-26 10:55,5.48,5.48,5.49,5.48,81.0,{},0.1435,300382
2019-08-26 11:00,5.48,5.44,5.49,5.44,3840.0,{},6.8023,300382
2019-08-26 11:05,5.44,5.54,5.57,5.44,11708.0,{},20.7401,300382
2019-08-26 11:10,5.54,5.52,5.54,5.51,416.0,{},0.7369,300382
2019-08-26 11:15,5.52,5.51,5.52,5.51,247.0,{},0.4375,300382
2019-08-26 11:20,5.51,5.52,5.54,5.51,538.0,{},0.9530,300382
2019-08-26 11:25,5.52,5.54,5.55,5.51,576.0,{},1.0204,300382
2019-08-26 11:30,5.54,5.57,5.57,5.54,632.0,{},1.1196,300382
2019-08-26 13:05,5.57,5.54,5.57,5.53,239.0,{},0.4234,300382
2019-08-26 13:10,5.54,5.52,5.54,5.52,100.0,{},0.1771,300382
2019-08-26 13:15,5.52,5.52,5.54,5.52,507.0,{},0.8981,300382
2019-08-26 13:20,5.52,5.51,5.52,5.51,411.0,{},0.7281,300382
2019-08-26 13:25,5.51,5.49,5.51,5.49,552.0,{},0.9778,300382
2019-08-26 13:30,5.49,5.5,5.5,5.48,500.0,{},0.8857,300382
2019-08-26 13:35,5.5,5.5,5.51,5.5,128.0,{},0.2267,300382
2019-08-26 13:40,5.5,5.49,5.5,5.49,64.0,{},0.1134,300382
2019-08-26 13:45,5.49,5.49,5.5,5.48,193.0,{},0.3419,300382
2019-08-26 13:50,5.49,5.47,5.49,5.47,367.0,{},0.6501,300382
2019-08-26 13:55,5.47,5.48,5.48,5.45,587.0,{},1.0398,300382
2019-08-26 14:00,5.48,5.47,5.49,5.47,175.0,{},0.3100,300382
2019-08-26 14:05,5.47,5.46,5.48,5.46,296.0,{},0.5243,300382
2019-08-26 14:10,5.46,5.45,5.47,5.45,289.0,{},0.5119,300382
2019-08-26 14:15,5.45,5.45,5.47,5.45,382.0,{},0.6767,300382
2019-08-26 14:20,5.45,5.46,5.46,5.45,712.0,{},1.2613,300382
2019-08-26 14:25,5.46,5.45,5.46,5.45,508.0,{},0.8999,300382
2019-08-26 14:30,5.45,5.46,5.46,5.44,630.0,{},1.1160,300382
2019-08-26 14:35,5.46,5.47,5.47,5.45,688.0,{},1.2188,300382
2019-08-26 14:40,5.47,5.51,5.51,5.46,873.0,{},1.5465,300382
2019-08-26 14:45,5.51,5.53,5.55,5.5,4291.0,{},7.6013,300382
2019-08-26 14:50,5.53,5.49,5.53,5.49,1464.0,{},2.5934,300382
2019-08-26 14:55,5.49,5.49,5.54,5.48,6521.0,{},11.5516,300382
2019-08-26 15:00,5.49,5.54,5.54,5.49,3649.0,{},6.4640,300382
2019-08-27 09:35,5.55,5.57,5.58,5.53,2113.0,{},3.7431,300382
2019-08-27 09:40,5.57,5.55,5.58,5.55,709.0,{},1.2560,300382
2019-08-27 09:45,5.55,5.56,5.57,5.55,433.0,{},0.7670,300382
2019-08-27 09:50,5.56,5.57,5.57,5.55,842.0,{},1.4916,300382
2019-08-27 09:55,5.57,5.56,5.57,5.56,796.0,{},1.4101,300382
2019-08-27 10:00,5.56,5.58,5.59,5.56,1063.0,{},1.8830,300382
2019-08-27 10:05,5.58,5.58,5.58,5.57,913.0,{},1.6173,300382
2019-08-27 10:10,5.58,5.57,5.58,5.56,358.0,{},0.6342,300382
2019-08-27 10:15,5.57,5.54,5.57,5.54,1671.0,{},2.9601,300382
2019-08-27 10:20,5.54,5.55,5.56,5.53,591.0,{},1.0469,300382
2019-08-27 10:25,5.55,5.56,5.56,5.54,781.0,{},1.3835,300382
2019-08-27 10:30,5.56,5.55,5.56,5.54,232.0,{},0.4110,300382
2019-08-27 10:35,5.55,5.56,5.56,5.54,1048.0,{},1.8565,300382
2019-08-27 10:40,5.56,5.56,5.57,5.55,574.0,{},1.0168,300382
2019-08-27 10:45,5.56,5.56,5.57,5.55,169.0,{},0.2994,300382
2019-08-27 10:50,5.56,5.56,5.56,5.55,86.0,{},0.1523,300382
2019-08-27 10:55,5.56,5.56,5.56,5.55,300.0,{},0.5314,300382
2019-08-27 11:00,5.56,5.57,5.57,5.56,211.0,{},0.3738,300382
2019-08-27 11:05,5.57,5.57,5.57,5.56,256.0,{},0.4535,300382
2019-08-27 11:10,5.57,5.57,5.58,5.56,304.0,{},0.5385,300382
2019-08-27 11:15,5.57,5.55,5.58,5.55,2658.0,{},4.7085,300382
2019-08-27 11:20,5.55,5.55,5.58,5.55,6625.0,{},11.7358,300382
2019-08-27 11:25,5.55,5.57,5.59,5.55,1908.0,{},3.3799,300382
2019-08-27 11:30,5.57,5.57,5.57,5.54,1853.0,{},3.2825,300382
2019-08-27 13:05,5.57,5.53,5.57,5.53,841.0,{},1.4898,300382
2019-08-27 13:10,5.53,5.53,5.55,5.53,159.0,{},0.2817,300382
2019-08-27 13:15,5.53,5.53,5.53,5.52,227.0,{},0.4021,300382
2019-08-27 13:20,5.53,5.52,5.53,5.52,273.0,{},0.4836,300382
2019-08-27 13:25,5.52,5.53,5.54,5.52,205.0,{},0.3631,300382
2019-08-27 13:30,5.53,5.53,5.54,5.53,59.0,{},0.1045,300382
2019-08-27 13:35,5.53,5.53,5.54,5.53,405.0,{},0.7174,300382
2019-08-27 13:40,5.53,5.53,5.54,5.52,354.0,{},0.6271,300382
2019-08-27 13:45,5.53,5.53,5.53,5.52,347.0,{},0.6147,300382
2019-08-27 13:50,5.53,5.53,5.54,5.53,40.0,{},0.0709,300382
2019-08-27 13:55,5.53,5.54,5.55,5.53,1211.0,{},2.1452,300382
2019-08-27 14:00,5.54,5.55,5.55,5.53,72.0,{},0.1275,300382
2019-08-27 14:05,5.55,5.54,5.55,5.53,81.0,{},0.1435,300382
2019-08-27 14:10,5.53,5.57,5.57,5.53,966.0,{},1.7112,300382
2019-08-27 14:15,5.57,5.57,5.57,5.54,477.0,{},0.8450,300382
2019-08-27 14:20,5.57,5.54,5.57,5.54,19.0,{},0.0337,300382
2019-08-27 14:25,5.54,5.57,5.57,5.54,201.0,{},0.3561,300382
2019-08-27 14:30,5.57,5.61,5.64,5.54,10970.0,{},19.4327,300382
2019-08-27 14:35,5.61,5.57,5.61,5.57,845.0,{},1.4969,300382
2019-08-27 14:40,5.57,5.57,5.58,5.57,719.0,{},1.2737,300382
2019-08-27 14:45,5.57,5.58,5.58,5.56,73.0,{},0.1293,300382
