,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,688388,嘉元科技,0.383,60.23,60.1,61.61,59.89,60.0,3634413.0,6.8783,220747705.0,59.049,12.046,1390566.148,318248.411619
1,688333,铂力特,0.014,71.75,71.91,73.9,71.41,71.74,1839174.0,10.24071,133171633.0,75.526,10.938,574000.0,128858.96765
2,688321,微芯生物,3.358,74.48,71.78,75.0,71.78,72.06,5359117.0,13.20685,396057296.0,857.077,53.583,3053680.0,302227.3646
3,688188,柏楚电子,0.864,163.4,162.05,167.93,162.05,162.0,1546459.0,6.75033,254985054.0,87.849,29.982,1634000.0,374339.08946
4,688168,安博通,-4.88,165.5,173.7,179.57,164.5,173.99,4427580.0,38.15027,752768023.0,103.438,23.509,847029.0,192073.2096
5,688122,西部超导,0.31,48.59,48.45,49.67,48.21,48.44,3211722.0,8.08951,157266115.0,142.954,10.187,2144140.648,192913.431969
6,688099,晶晨股份,2.161,91.23,89.32,93.58,89.32,89.3,3367522.0,9.02205,309222432.0,120.039,27.479,3750647.76,340520.26281
7,688088,虹软科技,-1.072,68.32,68.75,72.18,68.0,69.06,6045133.0,15.90565,422058955.0,139.429,21.971,2773792.0,259658.39256
8,688066,航天宏图,0.0,57.65,57.71,59.5,57.5,57.65,4056760.0,10.77574,236611036.0,115.3,15.97,956893.914745,217035.929285
9,688033,天宜上佳,1.068,41.65,41.2,42.5,41.19,41.21,3059562.0,7.04384,128020315.0,63.106,12.286,1868990.38802,180910.877525
10,688029,南微医学,-0.797,138.09,139.1,141.66,136.8,139.2,2229485.0,7.28778,309165422.0,71.661,18.891,1841292.06,422446.184619
11,688028,沃尔德,1.886,114.01,111.85,119.0,111.85,111.9,3976252.0,21.90473,460810462.0,103.645,18.629,912080.0,206956.413079
12,688022,瀚川智能,0.38,63.44,63.3,65.25,62.96,63.2,2341452.0,9.58639,149763812.0,72.92,26.881,685152.0,154950.575936
13,688020,方邦股份,0.171,99.82,100.02,102.53,99.59,99.65,1492030.0,8.17409,150287937.0,51.19,12.509,798560.0,182202.973246
14,688019,安集科技,0.72,156.62,156.06,162.11,155.04,155.5,1273697.0,11.0039,202417010.0,138.602,16.591,831783.44756,181286.960872
15,688018,乐鑫科技,2.349,157.7,157.2,169.36,157.2,154.08,3620917.0,20.76558,588333063.0,100.786,25.192,1261600.0,274983.28778
16,688016,心脉医疗,0.281,149.84,149.34,153.4,149.3,149.42,935060.0,6.68815,141144365.0,89.19,28.927,1078520.554648,209489.086368
