,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,-0.143,7.0,7.05,7.14,6.98,7.01,1862092.0,0.8082,13128644.0,53.435,2.38,403200.0,161280.0
1,603998,方盛制药,0.114,8.75,8.62,8.9,8.62,8.74,3640590.0,0.85621,31987922.0,62.5,3.741,377069.41125,372047.13
2,603997,继峰股份,-0.664,11.97,12.02,12.16,11.83,12.05,1851800.0,0.29394000000000003,22147318.0,26.022,4.225,763349.8824,754110.0
3,603996,中新科技,-0.915,16.24,16.39,16.55,16.15,16.39,1867400.0,1.8081800000000001,30388571.0,33.143,3.228,487443.6,167718.6
4,603993,洛阳钼业,-1.575,7.5,7.5,7.66,7.47,7.62,68119071.0,0.52586,513823763.0,53.571,4.163,16199430.43725,9715298.02425
5,603991,至正股份,0.641,25.11,24.95,25.43,24.4,24.95,308100.0,0.75002,7767691.0,46.5,3.999,187157.379978,103149.163098
6,603990,麦迪科技,0.358,39.21,39.0,39.34,38.1,39.07,314040.0,0.5210400000000001,12191127.0,61.266,7.399,317297.5146,236326.512
7,603989,艾华集团,-1.852,36.04,36.97,37.0,36.0,36.72,2362288.0,2.79975,86383790.0,37.155,5.269,1081200.0,304087.5
8,603988,中电电机,1.333,27.37,27.16,27.44,26.92,27.01,864800.0,0.72067,23525109.0,97.75,4.875,328440.0,328440.0
9,603987,康德莱,3.197,12.91,12.37,13.1,12.36,12.51,7663407.0,4.03186,97807117.0,33.974,3.245,407226.585,245382.24195
10,603986,兆易创新,3.016,173.18,166.0,176.45,164.68,168.11,4989869.0,3.38651,861008205.0,87.025,20.517,3510007.633412,2551726.7713
11,603985,恒润股份,-0.855,32.46,32.5,33.09,32.4,32.74,733080.0,3.6654,24032681.0,25.65,2.517,259680.0,64920.0
12,603980,吉华集团,-0.854,17.41,17.56,17.62,17.4,17.56,1319800.0,1.3198,23063432.0,19.717,2.127,870500.0,174100.0
13,603979,金诚信,-0.73,9.52,9.51,9.65,9.5,9.59,1771910.0,0.7287,16947385.0,27.2,1.435,556920.0,231488.62464
14,603978,DR深圳新,9.997,42.36,39.0,42.36,38.0,38.51,2613806.0,13.06903,108471388.0,26.981,2.5060000000000002,338880.0,84720.0
15,603977,国泰集团,-0.071,14.02,14.03,14.16,14.01,14.03,599000.0,0.47661000000000003,8431880.0,45.226,3.234,309954.16,176203.36
16,603976,正川股份,10.011,29.23,26.23,29.23,26.23,26.57,6988557.0,25.88354,198526501.0,32.121,3.239,315684.0,78921.0
17,603970,中农立华,1.612,25.85,25.51,26.61,25.25,25.44,4971925.0,14.91575,128332212.0,29.412,4.273,344666.839,86166.839
18,603969,银龙股份,-0.572,12.16,12.23,12.28,12.14,12.23,1569200.0,0.39230000000000004,19145584.0,40.533,2.977,486400.0,486400.0
19,603968,醋化股份,0.666,18.15,17.89,18.29,17.88,18.03,883652.0,0.6468900000000001,15921848.0,22.975,2.688,371131.2,247929.0
20,603966,法兰泰克,4.211,15.84,15.09,16.2,14.9,15.2,5546872.0,7.7546,87592126.0,38.634,3.077,253440.0,113303.64672
21,603963,大理药业,0.0,30.99,30.9,31.2,30.41,30.99,1960410.0,7.84164,60423005.0,56.345,6.564,309900.0,77475.0
22,603960,克来机电,3.472,37.25,35.85,37.38,35.56,36.0,842043.0,2.11289,30843415.0,73.039,8.523,387400.0,148451.072825
23,603959,百利科技,-3.409,28.62,29.7,29.7,28.41,29.63,907823.0,0.8532200000000001,26331270.0,59.625,6.498,641088.0,304516.8
24,603958,哈森股份,1.951,14.11,13.82,14.36,13.67,13.84,4622670.0,7.00415,65063509.0,168.78,2.624,310288.28315,93124.583356
25,603955,大千生态,0.0,35.88,0.0,0.0,0.0,35.88,0.0,0.0,0.0,37.356,2.985,312156.0,196843.786776
26,603939,益丰药房,0.0,60.02,0.0,0.0,0.0,60.02,0.0,0.0,0.0,69.468,6.661,2176893.337316,2176893.337316
27,603938,XD三孚股,-1.604,31.28,31.88,31.88,31.18,31.79,1175900.0,3.13101,36983450.0,28.697,4.599,469721.1248,117477.0448
28,603937,丽岛新材,0.0,20.52,20.3,20.7,20.16,20.52,4597498.0,8.80409,94226574.0,35.379,3.461,428621.76,107155.44
29,603936,博敏电子,-2.83,22.66,23.07,23.49,22.62,23.32,3443418.0,6.138,79325949.0,58.103,3.769,379215.1,127122.6
30,603933,睿能科技,1.709,39.88,39.57,40.39,39.34,39.21,1601600.0,6.23919,63794123.0,25.351,4.089,409447.96,102371.96
