===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,TestStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
1,,1,2019-06-03 10:30:00,76.92095164884387,77.31630817605995,75.8891675412312,76.1591671207934,26734900.0,0.0,TestStrategy,1,737213.4375,Broker,1,1000000.0,1000000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,,DrawDown,1,0.0,0.0
2,,2,2019-06-03 11:30:00,76.13023859441172,76.36166680546505,75.8891675412312,76.23630985781116,9640700.0,0.0,TestStrategy,2,737213.4791666666,Broker,2,1000000.0,1000000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,,DrawDown,2,0.0,0.0
3,,3,2019-06-03 14:00:00,76.19773848930228,76.88238028033498,76.19773848930228,76.5738093322639,8047900.0,0.0,TestStrategy,3,737213.5833333334,Broker,3,1000000.0,1000000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,,DrawDown,3,0.0,0.0
4,,4,2019-06-03 15:00:00,76.58345217439113,76.72809480629944,76.2073813314295,76.41952385822837,7707300.0,0.0,TestStrategy,4,737213.625,Broker,4,1000000.0,1000000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,,DrawDown,4,0.0,0.0
5,,5,2019-06-04 10:30:00,76.35202396333783,76.64130922715445,75.8023819620862,76.09166722590284,13097200.0,0.0,TestStrategy,5,737214.4375,Broker,5,1000000.0,1000000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,,DrawDown,5,0.0,0.0
6,,6,2019-06-04 11:30:00,76.09166722590284,76.10131006803007,75.44559680337902,75.67702501443233,11456000.0,0.0,TestStrategy,6,737214.4791666666,Broker,6,1000000.0,1000000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,,DrawDown,6,0.0,0.0
7,,7,2019-06-04 14:00:00,75.73488206719567,75.76381059357732,75.35881122423405,75.5709537510329,7270100.0,0.0,TestStrategy,7,737214.5833333334,Broker,7,1000000.0,1000000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,,DrawDown,7,0.0,0.0
8,,8,2019-06-04 15:00:00,75.58059659316011,75.62881080379623,75.08881164467184,75.18524006594404,19388800.0,0.0,TestStrategy,8,737214.625,Broker,8,1000000.0,1000000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,,DrawDown,8,0.0,0.0
9,,9,2019-06-05 10:30:00,75.9373817518673,76.08202438377563,75.34916838210681,75.4841681718879,18503800.0,0.0,TestStrategy,9,737215.4375,Broker,9,1000000.0,1000000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,,DrawDown,9,0.0,0.0
10,,10,2019-06-05 11:30:00,75.4841681718879,75.619167961669,75.29131132934349,75.59023943528734,7442500.0,0.0,TestStrategy,10,737215.4791666666,Broker,10,1000000.0,1000000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,,DrawDown,10,0.0,0.0
