关键词,新闻标题,新闻内容,发布时间,文章来源,新闻链接
600696,*ST岩石涉1800万元诉讼案宣判 需承担连带清偿责任,7月1日，*ST岩石（600696）发布公告，近日收到上海市浦东新区人民法院的《民事判决书》，公司作为被告二，涉及的诉讼案件由中国邮政储蓄银行股份有限公司提起,2025-07-01 19:57:29,财中社,http://finance.eastmoney.com/a/202507013445308275.html
600696,涨停股复盘：20股封单超亿元,*ST岩石 6.681.80149.11996.05食品饮料603838*ST四通 6.480.37149.38967.98,2025-06-26 16:20:28,证券时报网,http://finance.eastmoney.com/a/202506263441250584.html
600696,67只股上午收盘涨停(附股),*ST岩石 6.681.69301.712015.42食品饮料002231*ST奥维3.155.74430.171355.04,2025-06-26 11:47:48,证券时报网,http://finance.eastmoney.com/a/202506263441085249.html
600696,*ST岩石涉2575万元服务合同纠纷诉讼,6月24日，*ST岩石（600696）发布公告，近日收到昆山市人民法院送达的《民事起诉状》，公司作为被告之一，涉及的诉讼为服务合同纠纷,2025-06-24 19:02:08,财中社,http://finance.eastmoney.com/a/202506243439064971.html
600696,91只股涨停 最大封单资金4.88亿元,*ST岩石7.543.5655.34417.26食品饮料300584海辰药业41.0632.2110.08413.88医药生物,2025-06-09 15:33:10,证券时报网,http://finance.eastmoney.com/a/202506093425421714.html
600696,*ST岩石连续3个交易日涨停 涨幅偏离值累计达12%,5月21日，*ST岩石（600696）发布公告，公司股票在2025年5月19日、20日和21日连续3个交易日涨停，日收盘价格涨幅偏离值累计达,2025-05-21 19:14:47,财中社,http://finance.eastmoney.com/a/202505213410905452.html
600696,*ST岩石连续4个交易日涨停 控股股东无未披露重大信息,5月22日，*ST岩石（600696）发布公告，公司股票在2025年5月19日、20日、21日和22日连续4个交易日涨停,2025-05-22 18:24:48,财中社,http://finance.eastmoney.com/a/202505223412086548.html
600696,从“妖股神话”到“退市危局”：*ST岩石的资本沉浮录,从匹凸匹到*ST岩石1993年，*ST岩石登陆资本市场。,2025-04-23 10:18:51,蓝鲸财经,http://finance.eastmoney.com/a/202504233385510332.html
600696,*ST岩石：陈琪辞去公司副董事长的职务,*ST岩石（SH 600696，收盘价：6.32元）5月13日晚间发布公告称，公司董事会于近日收到公司副董事长陈琪先生的书面辞任报告,2025-05-13 20:35:05,每日经济新闻,http://finance.eastmoney.com/a/202505133403430951.html
600696,*ST岩石遭判决 需支付广告费及违约金共4026万元,5月19日，*ST岩石（600696）发布公告，近日公司收到法院送达的《民事判决书》，案件为与湖南灵象文化传媒有限公司的广告合同纠纷,2025-05-19 20:42:23,财中社,http://finance.eastmoney.com/a/202505193408489360.html
600696,*ST岩石陈琪因个人原因辞去副董事长职务,5月13日，*ST岩石（600696）发布公告，因个人原因，陈琪申请辞去公司副董事长的职务。,2025-05-13 20:10:37,财中社,http://finance.eastmoney.com/a/202505133403404568.html
600696,*ST岩石面临退市风险 跨界酒企再“折戟”,近日，上海贵酒股份有限公司（以下简称 “*ST岩石”，600696.SH）披露2024年年报，公司全年营业收入为2.85,2025-05-03 04:50:49,中国经营网,http://finance.eastmoney.com/a/202505033395596661.html
600696,直击业绩说明会 | *ST岩石回复很“敷衍”！QFII一季度买入即“踩雷”，或为押宝重组？,在连续6个一字跌停板后，有退市风险的*ST岩石（600696）本周股价出现大幅波动，日均成交金额也超过1亿元，这吸引了众多投资者关注,2025-05-09 20:35:11,每日经济新闻,http://finance.eastmoney.com/a/202505093400793524.html
600696,*ST岩石：2025年一季度净利润同比减亏33.55万元,中证智能财讯 *ST岩石（600696）4月30日披露2025年第一季度报告。,2025-05-01 19:14:43,中国证券报·中证网,http://finance.eastmoney.com/a/202505013395294812.html
600696,*ST岩石7月3日快速上涨,以下是*ST岩石在北京时间7月3日10:15分盘口异动快照：7月3日，*ST岩石盘中快速上涨，5分钟内涨幅超过2%，截至10,2025-07-03 10:15:42,东方财富Choice数据,http://finance.eastmoney.com/a/202507033447249766.html
600696,*ST岩石6月27日快速回调,以下是*ST岩石在北京时间6月27日09:35分盘口异动快照：6月27日，*ST岩石盘中快速回调，5分钟内跌幅超过2%，截至,2025-06-27 09:37:08,东方财富Choice数据,http://finance.eastmoney.com/a/202506273442126075.html
600696,*ST岩石6月30日快速上涨,以下是*ST岩石在北京时间6月30日13:14分盘口异动快照：6月30日，*ST岩石盘中快速上涨，5分钟内涨幅超过2%，截至,2025-06-30 13:15:02,东方财富Choice数据,http://finance.eastmoney.com/a/202506303443767767.html
600696,*ST岩石7月2日快速反弹,以下是*ST岩石在北京时间7月2日13:46分盘口异动快照：7月2日，*ST岩石盘中快速反弹，5分钟内涨幅超过2%，截至13,2025-07-02 13:46:06,东方财富Choice数据,http://finance.eastmoney.com/a/202507023446209997.html
600696,*ST岩石涨停走出4连板,每经AI快讯，5月22日，*ST岩石涨停走出4连板，4天累计涨幅达21.45%。,2025-05-22 09:35:41,每日经济新闻,http://finance.eastmoney.com/a/202505223411598152.html
600696,64只股上午收盘涨停(附股),3.161.06591.611869.49农林牧渔600696*ST岩石 7.901.85230.591821.64食品饮料002592ST八菱6.212.16148.28920.82汽车000669ST金鸿2.453.41357.14874.98公用事业000889ST中嘉2.912.46272.00791.52通信600753*ST庚星 6.490.22105.94687.56交通运输000820*ST节能3.178.29208.59661.23环保002168*ST惠程3.141.01185.58582.72电力设备600568ST中珠 1.541.82331.39510.35医药生物002345潮宏基13.135.99--纺织服饰,2025-05-27 14:25:34,证券时报网,http://finance.eastmoney.com/a/202505273415555160.html
600696,涨停股复盘：16股封单超亿元,.15电子600696*ST岩石 7.901.89146.461157.01食品饮料000669ST金鸿2.453.46320.76785.87,2025-05-27 16:10:23,证券时报网,http://finance.eastmoney.com/a/202505273415615721.html
600696,白酒板块盘中持续下跌，*ST岩石跌停,每经AI快讯，6月13日，白酒板块盘中持续下跌，*ST岩石跌停，皇台酒业跌超4%，泸州老窖、金徽酒均跌3%，古井贡酒、,2025-06-13 10:37:34,每日经济新闻,http://finance.eastmoney.com/a/202506133429885937.html
600696,杨卫国不再担任洋河集团董事长；*ST岩石因合同纠纷涉诉丨酒业早参,NO.3*ST岩石因合同纠纷涉诉6月24日，*ST岩石公告称，公司于近日收到昆山市人民法院送达的《民事起诉状》，诉讼内容为原告星创艺,2025-06-26 08:38:38,每日经济新闻,http://finance.eastmoney.com/a/202506263440675125.html
600696,*ST岩石一季度净利润亏损扩大,（记者翟枫瑞）4月29日晚间，上海贵酒股份有限公司（以下简称“*ST岩石”）发布2025年第一季度报告称，公司一季度实现营收,2025-04-29 21:51:46,北京商报,http://finance.eastmoney.com/a/202504293393291170.html
