,510300,510500,512290,512660,512760,512800,512880,513500,持仓金额,发生金额,账面现金,基金申赎,总资产,份额确认,基金份额,基金净值
2017/12/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017/12/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017/12/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017/12/14,141133.4,0,0,0,0,0,0,0,141133.4,0,0,140833.97,141133.4,140833.97,140833.97,1.002126121
2017/12/15,139265,0,0,0,0,0,0,0,139265,0,0,0,139265,0,140833.97,0.988859435
2017/12/18,139299.6,0,0,0,0,0,0,0,139299.6,0,0,0,139299.6,0,140833.97,0.989105114
2017/12/19,141133.4,0,0,0,0,0,0,0,141133.4,0,0,0,141133.4,0,140833.97,1.002126121
2017/12/20,140822,0,0,0,0,0,0,0,140822,0,0,0,140822,0,140833.97,0.999915006
2017/12/21,142552,0,0,0,0,0,0,0,142552,0,0,0,142552,0,140833.97,1.012198974
2017/12/22,141894.6,0,0,0,0,0,0,0,141894.6,0,0,0,141894.6,0,140833.97,1.007531067
2017/12/25,141237.2,0,0,0,0,0,0,0,141237.2,0,0,0,141237.2,0,140833.97,1.002863159
2017/12/26,141652.4,0,0,0,0,0,0,0,141652.4,0,0,0,141652.4,0,140833.97,1.005811311
2017/12/27,139299.6,0,0,0,0,0,0,0,139299.6,0,0,0,139299.6,0,140833.97,0.989105114
2017/12/28,140579.8,0,0,0,0,0,0,0,140579.8,0,0,0,140579.8,0,140833.97,0.998195251
2017/12/29,141029.6,0,0,0,0,0,0,0,141029.6,0,0,0,141029.6,0,140833.97,1.001389082
2018/1/2,143105.6,0,0,0,0,0,0,0,143105.6,0,0,0,143105.6,0,140833.97,1.016129844
2018/1/3,163825.2,0,0,0,0,0,0,0,163825.2,40.41,40.41,20000,163865.61,19682.52395,160516.494,1.020864622
2018/1/4,164337.4,0,0,0,0,0,0,0,164337.4,40.41,40.41,0,164377.81,0,160516.494,1.024055572
2018/1/5,164967.8,0,0,0,0,0,0,0,164967.8,40.41,40.41,0,165008.21,0,160516.494,1.027982894
2018/1/8,165637.6,0,0,0,0,0,0,0,165637.6,40.41,40.41,0,165678.01,0,160516.494,1.032155674
2018/1/9,166977.2,0,0,0,0,0,0,0,166977.2,40.41,40.41,0,167017.61,0,160516.494,1.040501234
2018/1/10,167686.4,0,0,0,0,0,0,0,167686.4,40.41,40.41,0,167726.81,0,160516.494,1.044919471
2018/1/11,167450,0,0,0,0,0,0,0,167450,40.41,40.41,0,167490.41,0,160516.494,1.043446725
2018/1/12,168356.2,0,0,0,0,0,0,0,168356.2,40.41,40.41,0,168396.61,0,160516.494,1.049092251
2018/1/15,168041,0,0,0,0,0,0,0,168041,40.41,40.41,0,168081.41,0,160516.494,1.04712859
2018/1/16,169735.2,0,0,0,0,0,0,0,169735.2,40.41,40.41,0,169775.61,0,160516.494,1.057683269
2018/1/17,169223,0,0,0,0,0,0,0,169223,40.41,40.41,0,169263.41,0,160516.494,1.054492319
