,159920,159949,510300,510500,512290,512660,512760,512800,512880,512980,513500,600089,651,持仓金额,发生金额,账面现金,基金申赎,总资产,份额确认,基金份额,基金净值
2017-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0
2017-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0
2017-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0
2017-12-14,0.0,0.0,141133.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141133.4,0.0,0.0,0,141133.4,0.0,0.0,inf
2017-12-15,0.0,0.0,139265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139265.0,0.0,0.0,0,139265.0,0.0,0.0,inf
2017-12-18,0.0,0.0,139299.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139299.6,0.0,0.0,0,139299.6,0.0,0.0,inf
2017-12-19,0.0,0.0,141133.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141133.4,0.0,0.0,0,141133.4,0.0,0.0,inf
2017-12-20,0.0,0.0,140822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140822.0,0.0,0.0,0,140822.0,0.0,0.0,inf
2017-12-21,0.0,0.0,142552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142552.0,0.0,0.0,0,142552.0,0.0,0.0,inf
2017-12-22,0.0,0.0,141894.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141894.6,0.0,0.0,0,141894.6,0.0,0.0,inf
2017-12-25,0.0,0.0,141237.19999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141237.19999999998,0.0,0.0,0,141237.19999999998,0.0,0.0,inf
2017-12-26,0.0,0.0,141652.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141652.4,0.0,0.0,0,141652.4,0.0,0.0,inf
2017-12-27,0.0,0.0,139299.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139299.6,0.0,0.0,0,139299.6,0.0,0.0,inf
2017-12-28,0.0,0.0,140579.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140579.8,0.0,0.0,0,140579.8,0.0,0.0,inf
2017-12-29,0.0,0.0,141029.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141029.6,0.0,0.0,0,141029.6,0.0,0.0,inf
2018-01-02,0.0,0.0,143105.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143105.6,0.0,0.0,0,143105.6,0.0,0.0,inf
2018-01-03,0.0,0.0,163825.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163825.2,40.409999999999854,40.409999999999854,0,163865.61000000002,0.0,0.0,inf
2018-01-04,0.0,0.0,164337.40000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164337.40000000002,40.409999999999854,40.409999999999854,0,164377.81000000003,0.0,0.0,inf
2018-01-05,0.0,0.0,164967.80000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164967.80000000002,40.409999999999854,40.409999999999854,0,165008.21000000002,0.0,0.0,inf
2018-01-08,0.0,0.0,165637.59999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165637.59999999998,40.409999999999854,40.409999999999854,0,165678.00999999998,0.0,0.0,inf
2018-01-09,0.0,0.0,166977.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166977.2,40.409999999999854,40.409999999999854,0,167017.61000000002,0.0,0.0,inf
2018-01-10,0.0,0.0,167686.40000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167686.40000000002,40.409999999999854,40.409999999999854,0,167726.81000000003,0.0,0.0,inf
2018-01-11,0.0,0.0,167450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167450.0,40.409999999999854,40.409999999999854,0,167490.41,0.0,0.0,inf
2018-01-12,0.0,0.0,168356.19999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168356.19999999998,40.409999999999854,40.409999999999854,0,168396.61,0.0,0.0,inf
2018-01-15,0.0,0.0,168041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168041.0,40.409999999999854,40.409999999999854,0,168081.41,0.0,0.0,inf
