,持仓金额,账面现金,基金申赎,总资产,份额确认,基金份额,基金净值
2017-12-11,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-12,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-13,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2017-12-14,141133.4,0.0,140833.97,141133.4,140833.97,140833.97,1.0021261205659402
2017-12-15,139265.0,0.0,0.0,139265.0,0.0,140833.97,0.9888594349786489
2017-12-18,139299.6,0.0,0.0,139299.6,0.0,140833.97,0.9891051143413766
2017-12-19,141133.4,0.0,0.0,141133.4,0.0,140833.97,1.0021261205659402
2017-12-20,140822.0,0.0,0.0,140822.0,0.0,140833.97,0.9999150063013916
2017-12-21,142552.0,0.0,0.0,142552.0,0.0,140833.97,1.0121989744377724
2017-12-22,141894.6,0.0,0.0,141894.6,0.0,140833.97,1.0075310665459478
2017-12-25,141237.19999999998,0.0,0.0,141237.19999999998,0.0,140833.97,1.0028631586541228
2017-12-26,141652.4,0.0,0.0,141652.4,0.0,140833.97,1.0058113110068543
2017-12-27,139299.6,0.0,0.0,139299.6,0.0,140833.97,0.9891051143413766
2017-12-28,140579.8,0.0,0.0,140579.8,0.0,140833.97,0.9981952507622982
2017-12-29,141029.6,0.0,0.0,141029.6,0.0,140833.97,1.0013890824777574
2018-01-02,143105.6,0.0,0.0,143105.6,0.0,140833.97,1.0161298442414142
2018-01-03,163825.2,40.409999999999854,20000.0,163865.61000000002,19682.523954338616,160516.49395433863,1.0208646224643687
2018-01-04,164337.40000000002,40.409999999999854,0.0,164377.81000000003,0.0,160516.49395433863,1.0240555718016107
2018-01-05,164967.80000000002,40.409999999999854,0.0,165008.21000000002,0.0,160516.49395433863,1.0279828940628315
2018-01-08,165637.59999999998,40.409999999999854,0.0,165678.00999999998,0.0,160516.49395433863,1.0321556739653783
2018-01-09,166977.2,40.409999999999854,0.0,167017.61000000002,0.0,160516.49395433863,1.040501233770473
2018-01-10,167686.40000000002,40.409999999999854,0.0,167726.81000000003,0.0,160516.49395433863,1.0449194713143466
2018-01-11,167450.0,40.409999999999854,0.0,167490.41,0.0,160516.49395433863,1.0434467254663886
2018-01-12,168356.19999999998,40.409999999999854,0.0,168396.61,0.0,160516.49395433863,1.0490922512168934
2018-01-15,168041.0,40.409999999999854,0.0,168081.41,0.0,160516.49395433863,1.0471285900862832
2018-01-16,169735.19999999998,40.409999999999854,0.0,169775.61,0.0,160516.49395433863,1.0576832686633142
2018-01-17,169223.0,40.409999999999854,0.0,169263.41,0.0,160516.49395433863,1.0544923193260722
2018-01-18,190212.00000000003,144.04000000000087,20000.0,190356.04000000004,18966.47290212795,179482.96685646658,1.0605799722055447
2018-01-19,190740.0,144.04000000000087,0.0,190884.04,0.0,179482.96685646658,1.0635217555360055
2018-01-22,193160.0,144.04000000000087,0.0,193304.04,0.0,179482.96685646658,1.0770049291339507
